,u_in,u_out,vy_in,r_in,xg_in,yg_in,theta_in,t,vy_out,r_out,xg_out,yg_out,theta_out
5787,-0.08862859894969559,-0.08843545904685228,1.5761552981055071,-0.06659962527475266,-28.92028945130846,1297.5872273288103,1.1579819424649718,57.870000000000005,1.5744108763040876,-0.06647413278893984,-28.81426878484038,1297.8683105351058,1.157316573433264
5788,-0.08843545904685228,-0.0882413585075752,1.5744108763040876,-0.06647413278893984,-28.81426878484038,1297.8683105351058,1.157316573433264,57.88,1.5726535009323983,-0.066347775769163,-28.708045263265902,1298.1493161626029,1.1566524636364375
5789,-0.0882413585075752,-0.08804629637305735,1.5726535009323983,-0.066347775769163,-28.708045263265902,1298.1493161626029,1.1566524636364375,57.89,1.5708831001930903,-0.06622054842244635,-28.60161917880841,1298.4302441478644,1.1559896217426806
5790,-0.08804629637305735,-0.08785027168449153,1.5708831001930903,-0.06622054842244635,-28.60161917880841,1298.4302441478644,1.1559896217426806,57.9,1.5690996017483116,-0.06609244491250706,-28.494990825363395,1298.7110944286424,1.1553280564773443
5791,-0.08785027168449153,-0.087653283483071,1.5690996017483116,-0.06609244491250706,-28.494990825363395,1298.7110944286424,1.1553280564773443,57.910000000000004,1.567302932716924,-0.06596345935951382,-28.388160498505435,1298.9918669438835,1.1546677766233011
5792,-0.087653283483071,-0.08745533080998859,1.567302932716924,-0.06596345935951382,-28.388160498505435,1298.9918669438835,1.1546677766233011,57.92,1.565493019671708,-0.06583358583984464,-28.281128495494436,1299.2725616337377,1.1540087910213022
5793,-0.08745533080998859,-0.08725641270643729,1.565493019671708,-0.06583358583984464,-28.281128495494436,1299.2725616337377,1.1540087910213022,57.93,1.5636697886365825,-0.06570281838584531,-28.1738951152826,1299.553178439564,1.1533511085703354
5794,-0.08725641270643729,-0.0870565282136099,1.5636697886365825,-0.06570281838584531,-28.1738951152826,1299.553178439564,1.1533511085703354,57.94,1.5618331650838122,-0.06557115098558756,-28.066460658520967,1299.8337173039379,1.152694738227985
5795,-0.0870565282136099,-0.08685567637269968,1.5618331650838122,-0.06557115098558756,-28.066460658520967,1299.8337173039379,1.152694738227985,57.95,1.5599830739312284,-0.06543857758262762,-27.958825427566392,1300.1141781706576,1.15203968901079
5796,-0.08685567637269968,-0.08665385622489948,1.5599830739312284,-0.06543857758262762,-27.958825427566392,1300.1141781706576,1.15203968901079,57.96,1.5581194395394318,-0.06530509207576389,-27.850989726487782,1300.394560984753,1.1513859699945999
5797,-0.08665385622489948,-0.0864510668114021,1.5581194395394318,-0.06530509207576389,-27.850989726487782,1300.394560984753,1.1513859699945999,57.97,1.556242184159845,-0.06517068824597895,-27.742953868608797,1300.6748656985046,1.1507335906109357
5798,-0.0864510668114021,-0.08624730717340082,1.556242184159845,-0.06517068824597895,-27.742953868608797,1300.6748656985046,1.1507335906109357,57.980000000000004,1.5543512308947154,-0.06503535989546003,-27.634718162102587,1300.955092259949,1.150082560081247
5799,-0.08624730717340082,-0.08604257635208845,1.5543512308947154,-0.06503535989546003,-27.634718162102587,1300.955092259949,1.150082560081247,57.99,1.5524465032984769,-0.0648991008287506,-27.52628291192335,1301.2352406144246,1.1494328874929007
5800,-0.08604257635208845,-0.08583687338865795,1.5524465032984769,-0.0648991008287506,-27.52628291192335,1301.2352406144246,1.1494328874929007,58.0,1.5505279233735703,-0.06476190475843581,-27.417648429549168,1301.5153107123454,1.1487845821819505
5801,-0.08583687338865795,-0.08563019732430219,1.5505279233735703,-0.06476190475843581,-27.417648429549168,1301.5153107123454,1.1487845821819505,58.01,1.5485954125443686,-0.06462376535080985,-27.308815028237312,1301.7953025054187,1.1481376535468726
5802,-0.08563019732430219,-0.08542254720021437,1.5485954125443686,-0.06462376535080985,-27.308815028237312,1301.7953025054187,1.1481376535468726,58.02,1.5466488916541925,-0.06448467622562498,-27.199783023032232,1302.0752159466508,1.1474921110489646
5803,-0.08542254720021437,-0.08521392205758736,1.5466488916541925,-0.06448467622562498,-27.199783023032232,1302.0752159466508,1.1474921110489646,58.03,1.544688280962312,-0.06434463095583966,-27.090552730772746,1302.3550509903562,1.1468479642127398
5804,-0.08521392205758736,-0.08500432093761397,1.544688280962312,-0.06434463095583966,-27.090552730772746,1302.3550509903562,1.1468479642127398,58.04,1.5427135001409584,-0.06420362306736749,-26.981124470099957,1302.634807592165,1.1462052226263255
5805,-0.08500432093761397,-0.08479374288148747,1.5427135001409584,-0.06420362306736749,-26.981124470099957,1302.634807592165,1.1462052226263255,58.050000000000004,1.5407244682723407,-0.0640616460388262,-26.871498561465152,1302.9144857090307,1.1455638959418615
5806,-0.08479374288148747,-0.08458218693040066,1.5407244682723407,-0.0640616460388262,-26.871498561465152,1302.9144857090307,1.1455638959418615,58.06,1.5387211038456448,-0.06391869330128579,-26.761675327137,1303.1940852992377,1.1449239938758944
5807,-0.08458218693040066,-0.08436965212554653,1.5387211038456448,-0.06391869330128579,-26.761675327137,1303.1940852992377,1.1449239938758944,58.07,1.5367033247540491,-0.06377475823801754,-26.651655091209534,1303.4736063224095,1.1442855262097769
5808,-0.08436965212554653,-0.0841561375081179,1.5367033247540491,-0.06377475823801754,-26.651655091209534,1303.4736063224095,1.1442855262097769,58.08,1.5346710482917323,-0.06362983418424252,-26.541438179609685,1303.7530487395165,1.1436485027900638
5809,-0.0841561375081179,-0.08394164211930803,1.5346710482917323,-0.06362983418424252,-26.541438179609685,1303.7530487395165,1.1436485027900638,58.09,1.5326241911508875,-0.06348391442688073,-26.431024920105234,1304.032412512883,1.1430129335289105
5810,-0.08394164211930803,-0.08372616500030977,1.5326241911508875,-0.06348391442688073,-26.431024920105234,1304.032412512883,1.1430129335289105,58.1,1.530562669418724,-0.06333699220429909,-26.32041564231203,1304.311697606196,1.142378828404468
5811,-0.08372616500030977,-0.0835097051923159,1.530562669418724,-0.06333699220429909,-26.32041564231203,1304.311697606196,1.142378828404468,58.11,1.5284863985744803,-0.0631890607060605,-26.20961067770191,1304.5909039845128,1.141746197461281
5812,-0.0835097051923159,-0.08329226173651973,1.5284863985744803,-0.0631890607060605,-26.20961067770191,1304.5909039845128,1.141746197461281,58.120000000000005,1.5263952934864393,-0.06304011307267275,-26.09861035961056,1304.8700316142679,1.1411150508106862
5813,-0.08329226173651973,-0.08307383367411403,1.5263952934864393,-0.06304011307267275,-26.09861035961056,1304.8700316142679,1.1411150508106862,58.13,1.5242892666864585,-0.06289014241799708,-25.987415036560623,1305.1490804740133,1.140485399106572
5814,-0.08307383367411403,-0.08285442004629182,1.5242892666864585,-0.06289014241799708,-25.987415036560623,1305.1490804740133,1.140485399106572,58.14,1.5221682328132025,-0.06273914177050395,-25.876025037897435,1305.4280505267245,1.1398572523187167
5815,-0.08285442004629182,-0.08263401989424589,1.5221682328132025,-0.06273914177050395,-25.876025037897435,1305.4280505267245,1.1398572523187167,58.15,1.5200321050183516,-0.062587104120261,-25.764440701555706,1305.7069417421808,1.1392306207241671
5816,-0.08263401989424589,-0.08241263225916952,1.5200321050183516,-0.062587104120261,-25.764440701555706,1305.7069417421808,1.1392306207241671,58.160000000000004,1.5178807956234863,-0.06243402241000123,-25.6526623689664,1305.9857540928601,1.1386055147255287
5817,-0.08241263225916952,-0.08219025618225553,1.5178807956234863,-0.06243402241000123,-25.6526623689664,1305.9857540928601,1.1386055147255287,58.17,1.5157142163193578,-0.06227988953221005,-25.54069038350022,1306.2644875526892,1.137981944795538
5818,-0.08219025618225553,-0.08196689070469688,1.5157142163193578,-0.06227988953221005,-25.54069038350022,1306.2644875526892,1.137981944795538,58.18,1.5135322781627594,-0.06212469832887619,-25.428525090476693,1306.54314209705,1.1373599214775
5819,-0.08196689070469688,-0.0817425348676864,1.5135322781627594,-0.06212469832887619,-25.428525090476693,1306.54314209705,1.1373599214775,58.19,1.5113348915733902,-0.06196844159124212,-25.316166837172798,1306.8217177027889,1.1367394553857257
5820,-0.0817425348676864,-0.08151718771241737,1.5113348915733902,-0.06196844159124212,-25.316166837172798,1306.8217177027889,1.1367394553857257,58.2,1.5091219663307274,-0.061811112059555036,-25.203615972832054,1307.1002143482267,1.1361205572059692
5821,-0.08151718771241737,-0.08129084828008261,1.5091219663307274,-0.061811112059555036,-25.203615972832054,1307.1002143482267,1.1361205572059692,58.21,1.5068934115708836,-0.061652702422816785,-25.090872848672827,1307.3786320131653,1.1355032376958614
5822,-0.08129084828008261,-0.0810635156118749,1.5068934115708836,-0.061652702422816785,-25.090872848672827,1307.3786320131653,1.1355032376958614,58.22,1.5046491357834777,-0.06149320531853473,-24.97793781789734,1307.6569706788982,1.134887507685349
5823,-0.0810635156118749,-0.08083518874898758,1.5046491357834777,-0.06149320531853473,-24.97793781789734,1307.6569706788982,1.134887507685349,58.230000000000004,1.5023890468085055,-0.06133261333247269,-24.86481123570071,1307.9352303282178,1.1342733780771328
5824,-0.08083518874898758,-0.08060586673261341,1.5023890468085055,-0.06133261333247269,-24.86481123570071,1307.9352303282178,1.1342733780771328,58.24,1.5001130518331969,-0.061170918998400825,-24.75149345927921,1308.2134109454246,1.1336608598470996
5825,-0.08060586673261341,-0.08037554860394538,1.5001130518331969,-0.061170918998400825,-24.75149345927921,1308.2134109454246,1.1336608598470996,58.25,1.4978210573888886,-0.06100811479784666,-24.637984847839405,1308.4915125163366,1.1330499640447629
5826,-0.08037554860394538,-0.08014423340417631,1.4978210573888886,-0.06100811479784666,-24.637984847839405,1308.4915125163366,1.1330499640447629,58.26,1.4955129693478866,-0.06084419315984542,-24.524285762606745,1308.7695350282966,1.132440701793697
5827,-0.08014423340417631,-0.07991192017449948,1.4955129693478866,-0.06084419315984542,-24.524285762606745,1308.7695350282966,1.132440701793697,58.27,1.49318869292034,-0.06067914646069106,-24.41039656683468,1309.0474784701814,1.1318330842919773
5828,-0.07991192017449948,-0.0796786079561077,1.49318869292034,-0.06067914646069106,-24.41039656683468,1309.0474784701814,1.1318330842919773,58.28,1.490848132567157,-0.06051296706852962,-24.296317628619356,1309.325342834671,1.1312271228986404
5829,-0.0796786079561077,-0.07944429579019378,1.490848132567157,-0.06051296706852962,-24.296317628619356,1309.325342834671,1.1312271228986404,58.29,1.4884911917974304,-0.06034564744966493,-24.182049327577268,1309.6031281236228,1.1306228293385416
5830,-0.07944429579019378,-0.07920898271795103,1.4884911917974304,-0.06034564744966493,-24.182049327577268,1309.6031281236228,1.1306228293385416,58.300000000000004,1.4861177741282425,-0.060177179653866555,-24.06759202265873,1309.8808343221651,1.1300202147158729
